Fecha,Aceites lubricantes,Asfalto,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,PetCoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,Orimulsión,Total
Jan/2000,0.0,48446.0,296766.99,0.0,0.0,0.0,0.0,194410.48,1426.0,202645.2,308156.82,0.0,64026.09,0.0,0.0,0.0,0.0,0.0,0.0,634667.06,0.0,1750544.64
Feb/2000,0.0,50597.0,328116.44,0.0,0.0,0.0,0.0,174710.55,1458.0,205530.96,307766.31,0.0,62660.3,0.0,0.0,0.0,0.0,0.0,0.0,642380.66,0.0,1773220.22
Mar/2000,0.0,27593.0,368589.63,0.0,0.0,0.0,0.0,189234.07,1503.0,229499.56,331910.29,0.0,61361.99,0.0,0.0,0.0,0.0,0.0,0.0,699807.25,0.0,1909498.79
Apr/2000,0.0,53794.0,396300.47,0.0,0.0,0.0,0.0,174330.61,1561.0,210680.4,315648.08,0.0,61814.32,0.0,0.0,0.0,0.0,0.0,0.0,586803.98,0.0,1800932.86
May/2000,0.0,60137.0,449368.92,0.0,0.0,0.0,0.0,191745.15,1642.0,208164.34,319667.97,0.0,54098.32,0.0,0.0,0.0,0.0,0.0,0.0,656948.2,0.0,1941771.9
Jun/2000,0.0,40623.0,404033.69,0.0,0.0,0.0,0.0,196321.93,1641.0,195088.74,300347.7,0.0,60390.32,0.0,0.0,0.0,0.0,0.0,0.0,570919.88,0.0,1769366.26
Jul/2000,0.0,36670.0,291436.2,0.0,0.0,0.0,0.0,192344.5,1598.0,204556.77,308305.93,0.0,61931.56,0.0,0.0,0.0,0.0,0.0,0.0,576436.02,0.0,1673278.98
Aug/2000,0.0,25033.0,373811.63,0.0,0.0,0.0,0.0,203727.08,1438.0,218388.51,323011.86,0.0,70821.94,0.0,0.0,0.0,0.0,0.0,0.0,593770.77,0.0,1810002.79
Sep/2000,0.0,16906.0,322718.89,0.0,0.0,0.0,0.0,194565.1,1469.0,213906.96,326455.72,0.0,58960.01,0.0,0.0,0.0,0.0,0.0,0.0,590145.4,0.0,1725127.08
Oct/2000,0.0,22070.0,260955.42,0.0,0.0,0.0,0.0,210261.83,1475.0,213606.65,323843.63,0.0,63794.12,0.0,0.0,0.0,0.0,0.0,0.0,641113.36,0.0,1737120.01
Nov/2000,0.0,25659.0,310274.26,0.0,0.0,0.0,0.0,205027.95,1498.0,209227.48,320788.08,0.0,65733.0,0.0,0.0,0.0,0.0,0.0,0.0,657086.3,0.0,1795294.07
Dec/2000,0.0,20430.0,284045.83,0.0,0.0,0.0,0.0,200247.56,1501.0,230020.7,366987.56,0.0,68848.5,0.0,0.0,0.0,0.0,0.0,0.0,673282.26,0.0,1845363.41
Jan/2001,0.0,30002.22,399107.63,0.0,0.0,0.0,0.0,179405.99,1755.58,164547.35,300242.78,0.0,69691.25,0.0,0.0,0.0,0.0,0.0,0.0,569328.79,0.0,1714081.59
Feb/2001,0.0,34407.57,404897.0,0.0,0.0,0.0,0.0,167818.14,1510.58,174838.81,301483.4,0.0,56326.42,0.0,0.0,0.0,0.0,0.0,0.0,597749.83,0.0,1739031.76
Mar/2001,0.0,32274.68,406269.28,0.0,0.0,0.0,0.0,186397.33,1602.58,201992.65,355572.83,0.0,68208.99,0.0,0.0,0.0,0.0,0.0,0.0,736085.97,0.0,1988404.31
Apr/2001,0.0,26986.96,397689.22,0.0,0.0,0.0,0.0,175820.35,1355.58,198683.39,355826.76,0.0,66697.9,0.0,0.0,0.0,0.0,0.0,0.0,606257.66,0.0,1829317.82
May/2001,0.0,29776.72,494837.73,0.0,0.0,0.0,0.0,178303.33,1273.58,182504.09,336040.04,0.0,61641.63,0.0,0.0,0.0,0.0,0.0,0.0,664082.66,0.0,1948459.78
Jun/2001,0.0,26759.22,385382.02,0.0,0.0,0.0,0.0,177826.93,1171.58,201379.48,308804.7,0.0,57796.09,0.0,0.0,0.0,0.0,0.0,0.0,559333.03,0.0,1718453.05
Jul/2001,0.0,24312.29,482085.37,0.0,0.0,0.0,0.0,191041.99,1637.58,214980.24,350501.97,0.0,67033.45,0.0,0.0,0.0,0.0,0.0,0.0,589452.73,0.0,1921045.63
